,costo,dim,gap,heuristica,instancia,tiempo
307,153462.0,76.0,0.4188555737386625,NN,pr76,0.562431
308,46680.0,107.0,0.053653251472812226,NN,pr107,0.549303
309,69297.0,124.0,0.17392851092664746,NN,pr124,1.44166
310,120769.0,136.0,0.24797462075807053,NN,pr136,1.06561
311,61652.0,144.0,0.053214206399371335,NN,pr144,1.22957
312,85699.0,152.0,0.1630927499253549,NN,pr152,2.4447
313,1554.0,99.0,0.2832369942196532,NN,rat99,0.73406
314,2752.0,195.0,0.18467498923805423,NN,rat195,2.88185
315,9938.0,100.0,0.2563843236409608,NN,rd100,0.462967
316,22263.0,175.0,0.039986920166300746,NN,si175,2.12198
317,830.0,70.0,0.22962962962962963,NN,st70,0.314257
318,1630.0,42.0,0.28043990573448546,NN,swiss42,0.092001
319,54675.0,159.0,0.29931083650190116,NN,u159,2.78312
320,9988.0,16.0,0.4561889488263595,NN,ulysses16,0.01494
321,10586.0,22.0,0.5094823898474262,NN,ulysses22,0.019744
322,10876.0,48.0,0.023334587881068874,FI,att48,1.34356
323,1738.0,29.0,0.07950310559006211,FI,bayg29,0.203259
324,2028.0,29.0,0.0039603960396039604,FI,bays29,0.336509
325,8312.0,52.0,0.1020949350304959,FI,berlin52,0.848876
326,129723.0,127.0,0.0967264672562182,FI,bier127,6.58918
327,26524.0,58.0,0.044457570387871626,FI,brazil58,1.87792
328,2672.0,180.0,0.37025641025641026,FI,brg180,15.9068
329,3323.0,14.0,0.0,FI,burma14,0.089318
330,6433.0,130.0,0.05286415711947627,FI,ch130,8.84537
331,7067.0,150.0,0.08256740196078431,FI,ch150,17.9543
332,16260.0,198.0,0.030418250950570342,FI,d198,18.0049
333,747.0,42.0,0.06866952789699571,FI,dantzig42,0.820178
334,463.0,51.0,0.08685446009389672,FI,eil51,1.40271
335,585.0,76.0,0.08736059479553904,FI,eil76,3.72306
336,937.0,26.0,0.0,FI,fri26,0.273567
337,2095.0,17.0,0.004796163069544364,FI,gr17,0.116677
338,2816.0,21.0,0.040265977096416695,FI,gr21,0.190607
339,1319.0,24.0,0.036949685534591194,FI,gr24,0.241175
340,5151.0,48.0,0.020808561236623068,FI,gr48,1.33043
341,60335.0,96.0,0.0928471807132895,FI,gr96,5.86584
342,7304.0,120.0,0.052146355517142036,FI,gr120,9.66662
343,74245.0,137.0,0.06287489442114154,FI,gr137,5.06645
344,12353.0,48.0,0.07782915975918332,FI,hk48,0.738703
345,23186.0,100.0,0.08946527581994174,FI,kroA100,6.8894
346,23222.0,100.0,0.04882344970868525,FI,kroB100,6.15798
347,21699.0,100.0,0.045785339052484456,FI,kroC100,4.55652
348,22034.0,100.0,0.034751573213111675,FI,kroD100,4.11631
349,23516.0,100.0,0.06561537067246692,FI,kroE100,3.74363
350,28684.0,150.0,0.08143568089277635,FI,kroA150,11.0333
351,27180.0,150.0,0.040183696900114814,FI,kroB150,9.41307
352,15368.0,105.0,0.06878086097781487,FI,lin105,5.12132
