instancia,dim,heuristica,tiempo,costo,gap,iteraciones,memoria,vecindad
berlin52,52,TS-C,148.142,7757,0.028507027313709892,200,100,50
berlin52,52,TS-C,149.537,7986,0.0588703261734288,200,200,50
berlin52,52,TS-C,325.328,7803,0.034606205250596656,500,50,50
berlin52,52,TS-C,328.406,7757,0.028507027313709892,500,100,50
berlin52,52,TS-C,327.67,8029,0.06457173163617078,500,200,50
berlin52,52,TS-C,335.058,7986,0.0588703261734288,500,500,50
berlin52,52,TS-C,599.374,7837,0.03911429329090427,1000,50,50
berlin52,52,TS-C,604.591,8051,0.06748872977989923,1000,100,50
berlin52,52,TS-C,655.386,8029,0.06457173163617078,1000,200,50
berlin52,52,TS-C,742.482,7542,0.0,1000,500,50
berlin52,52,TS-C,708.246,7837,0.03911429329090427,1000,1000,50
berlin52,52,TS-C,45.1622,7842,0.03977724741447892,50,50,80
berlin52,52,TS-C,80.4682,7842,0.03977724741447892,100,50,80
berlin52,52,TS-C,94.9926,7837,0.03911429329090427,100,100,80
berlin52,52,TS-C,165.476,7837,0.03911429329090427,200,50,80
berlin52,52,TS-C,164.059,7837,0.03911429329090427,200,100,80
berlin52,52,TS-C,147.645,7837,0.03911429329090427,200,200,80
berlin52,52,TS-C,349.547,7837,0.03911429329090427,500,50,80
berlin52,52,TS-C,351.791,7837,0.03911429329090427,500,100,80
berlin52,52,TS-C,417.006,7837,0.03911429329090427,500,200,80
berlin52,52,TS-C,364.36,7837,0.03911429329090427,500,500,80
berlin52,52,TS-C,736.651,7837,0.03911429329090427,1000,50,80
berlin52,52,TS-C,742.995,8051,0.06748872977989923,1000,100,80
berlin52,52,TS-C,715.454,7837,0.03911429329090427,1000,200,80
berlin52,52,TS-C,743.728,7837,0.03911429329090427,1000,500,80
berlin52,52,TS-C,703.406,8051,0.06748872977989923,1000,1000,80
berlin52,52,TS-C,68.1096,7842,0.03977724741447892,50,50,100
berlin52,52,TS-C,101.997,7842,0.03977724741447892,100,50,100
berlin52,52,TS-C,95.3892,7842,0.03977724741447892,100,100,100
berlin52,52,TS-C,170.595,7842,0.03977724741447892,200,50,100
berlin52,52,TS-C,153.317,7842,0.03977724741447892,200,100,100
berlin52,52,TS-C,159.6,7837,0.03911429329090427,200,200,100
berlin52,52,TS-C,368.58,7842,0.03977724741447892,500,50,100
berlin52,52,TS-C,358.285,7842,0.03977724741447892,500,100,100
berlin52,52,TS-C,353.792,7837,0.03911429329090427,500,200,100
berlin52,52,TS-C,382.742,7837,0.03911429329090427,500,500,100
berlin52,52,TS-C,733.752,7842,0.03977724741447892,1000,50,100
berlin52,52,TS-C,722.588,7842,0.03977724741447892,1000,100,100
berlin52,52,TS-C,719.019,7837,0.03911429329090427,1000,200,100
berlin52,52,TS-C,731.079,7837,0.03911429329090427,1000,500,100
berlin52,52,TS-C,753.604,7837,0.03911429329090427,1000,1000,100
brazil58,58,TS-C,34.6942,25809,0.016302421736562316,50,50,10
brazil58,58,TS-C,103.718,26415,0.04016538688718252,100,50,10
brazil58,58,TS-C,79.127,25428,0.001299468399291199,100,100,10
brazil58,58,TS-C,154.599,25549,0.006064185863358929,200,50,10
brazil58,58,TS-C,135.409,25667,0.010710769836582004,200,100,10
brazil58,58,TS-C,173.559,25655,0.010238235873203386,200,200,10
brazil58,58,TS-C,345.878,25400,0.00019688915140775743,500,50,10
brazil58,58,TS-C,376.376,25427,0.0012600905690096475,500,100,10
brazil58,58,TS-C,359.379,25400,0.00019688915140775743,500,200,10
brazil58,58,TS-C,380.498,25701,0.012049616066154754,500,500,10
brazil58,58,TS-C,692.716,25411,0.0006300452845048238,1000,50,10
